Index Name,Date,Open,High,Low,Close
NIFTY 50,18-Feb-04,1920,1935.8,1912.6,1916.45
NIFTY 50,19-Feb-04,1916.65,1919.7,1851.8,1858.3
NIFTY 50,20-Feb-04,1858.25,1872.85,1831.15,1852.65
NIFTY 50,23-Feb-04,1853,1867.25,1800.2,1808.2
NIFTY 50,24-Feb-04,1808.4,1826.85,1780.35,1821.35
NIFTY 50,25-Feb-04,1833.65,1834.1,1779,1786.8
NIFTY 50,26-Feb-04,1787.45,1818.6,1760.55,1765.8
NIFTY 50,27-Feb-04,1765.9,1807.45,1763.95,1800.3
NIFTY 50,01-Mar-04,1798.35,1856.45,1795.35,1852.7
NIFTY 50,03-Mar-04,1852.45,1868.25,1842.45,1860.4
NIFTY 50,04-Mar-04,1859.3,1867.95,1831.2,1843.85
NIFTY 50,05-Mar-04,1843.9,1871.1,1843.9,1867.7
NIFTY 50,08-Mar-04,1868.15,1891.95,1867.95,1885.25
NIFTY 50,09-Mar-04,1884.5,1898.7,1843,1866.05
NIFTY 50,10-Mar-04,1866.3,1866.4,1835.8,1844.35
NIFTY 50,11-Mar-04,1843.95,1843.95,1798.45,1805.4
NIFTY 50,12-Mar-04,1805.2,1820.95,1775.9,1812.2
NIFTY 50,15-Mar-04,1812.45,1836,1751.8,1763.4
NIFTY 50,16-Mar-04,1763.35,1769.5,1730.1,1749.35
NIFTY 50,17-Mar-04,1749.6,1765.05,1738.85,1749.85
NIFTY 50,18-Mar-04,1750,1754.95,1708.3,1716.65
NIFTY 50,19-Mar-04,1716.3,1738.6,1703.55,1725.1
NIFTY 50,22-Mar-04,1726.3,1726.35,1678.4,1685
NIFTY 50,23-Mar-04,1685.15,1710.45,1669.7,1696.4
NIFTY 50,24-Mar-04,1697.4,1700.65,1676.4,1692.1
NIFTY 50,25-Mar-04,1691.95,1720.65,1691.95,1704.45
NIFTY 50,26-Mar-04,1704.45,1755.45,1703.8,1747.5
NIFTY 50,29-Mar-04,1747.35,1766.15,1739.5,1762.05
NIFTY 50,30-Mar-04,1762.15,1775.4,1746.25,1750.15
NIFTY 50,31-Mar-04,1744.6,1775.3,1740.2,1771.9
NIFTY 50,01-Apr-04,1771.45,1823.05,1771.45,1819.65
NIFTY 50,02-Apr-04,1856.1,1856.3,1809,1841.1
NIFTY 50,05-Apr-04,1841.1,1878.8,1840,1856.6
NIFTY 50,06-Apr-04,1870.8,1876.15,1836.9,1851.15
NIFTY 50,07-Apr-04,1856.4,1865.2,1833.95,1848.7
NIFTY 50,08-Apr-04,1854,1864.95,1839.7,1853.55
NIFTY 50,12-Apr-04,1860.3,1873.75,1828.95,1838.2
NIFTY 50,13-Apr-04,1838.5,1885.15,1819.8,1878.45
NIFTY 50,15-Apr-04,1878.5,1884.5,1855,1861.95
NIFTY 50,16-Apr-04,1863.85,1882.55,1861.8,1868.95
NIFTY 50,17-Apr-04,1869.2,1875.95,1864.95,1868.1
