,date,instrument,ROE,Free_Cash_Flow,PE_TTM,market_cap,amount,open,close
223840,2022/11/29,002709.SZA,47.8025,140897808,17.084023,85678397745,798685391,608.05347,624.33936
223841,2022/11/30,002709.SZA,47.8025,140897808,17.272264,86622459245,858330407,625.8837,631.21875
223842,2022/12/1,002709.SZA,47.8025,140897808,18.374832,92151962315,2706723803,645.8199,671.51227
223843,2022/12/2,002709.SZA,47.8025,140897808,18.497766,92768492274,1406553292,670.52954,676.00494
223844,2022/12/5,002709.SZA,47.8025,140897808,17.959929,90071173704,1259048907,674.0394,656.34955
223845,2022/12/6,002709.SZA,47.8025,140897808,18.98566,95215345549,2831232374,652.83966,693.8352
223846,2022/12/7,002709.SZA,47.8025,140897808,19.715584,98875992181,3019873573,688.079,720.5104
223847,2022/12/8,002709.SZA,47.8025,140897808,19.803942,99319123089,1770580449,715.035,723.7395
223848,2022/12/9,002709.SZA,47.8025,140897808,19.408247,97334667283,1917968272,720.22955,709.27875
223849,2022/12/12,002709.SZA,47.8025,140897808,19.373672,97161268232,1102216661,708.1556,708.01514
223850,2022/12/13,002709.SZA,47.8025,140897808,18.613016,93346489111,1525853806,706.19,680.2168
223851,2022/12/14,002709.SZA,47.8025,140897808,18.46319,92595093223,1170449121,685.1307,674.7414
223852,2022/12/15,002709.SZA,47.8025,140897808,18.828152,94425416539,1684066051,674.7414,688.079
223853,2022/12/16,002709.SZA,47.8025,140897808,18.724426,93905219386,1096066790,679.51483,684.2883
223854,2022/12/19,002709.SZA,47.8025,140897808,19.047129,95523610529,1511112928,686.9558,696.08154
223855,2022/12/20,002709.SZA,47.8025,140897808,18.901144,94791481202,996587076,689.20215,690.7465
223856,2022/12/21,002709.SZA,47.8025,140897808,18.84736,94521749345,918558910,686.5346,688.78094
223857,2022/12/22,002709.SZA,47.8025,140897808,18.14433,90995968642,1100757100,694.9584,663.08856
223858,2022/12/23,002709.SZA,47.8025,140897808,18.071337,90629903979,715634570,656.77075,660.421
224105,2022/8/31,002714.SZA,-13.0609,-9444413440,-33.525875,3.11985E+11,1565717300,1085.6208,1085.9913
224106,2022/9/1,002714.SZA,-13.0609,-9444413440,-33.57163,3.12411E+11,1238463197,1083.7683,1087.4734
224107,2022/9/2,002714.SZA,-13.0609,-9444413440,-33.743206,3.14007E+11,1338674617,1091.5492,1093.0312
224108,2022/9/5,002714.SZA,-13.0609,-9444413440,-34.34944,3.19649E+11,2143565587,1095.8102,1112.6687
224109,2022/9/6,002714.SZA,-13.0609,-9444413440,-34.172146,3.17999E+11,1584157023,1112.854,1106.9257
224110,2022/9/7,002714.SZA,-13.0609,-9444413440,-33.525875,3.11985E+11,1865271672,1100.2563,1085.9913
224111,2022/9/8,002714.SZA,-13.0609,-9444413440,-33.400055,3.10814E+11,1334069423,1085.9913,1081.9156
224112,2022/9/9,002714.SZA,-13.0609,-9444413440,-33.45728,3.11347E+11,1221601017,1087.4734,1083.7683
224113,2022/9/13,002714.SZA,-13.0609,-9444413440,-34.669746,3.2263E+11,2670775890,1090.2523,1123.0432
224114,2022/9/14,002714.SZA,-13.0609,-9444413440,-34.595398,3.21938E+11,1255001831,1117.4855,1120.6349
224115,2022/9/15,002714.SZA,-13.0609,-9444413440,-33.966286,3.16083E+11,1900887044,1115.2623,1100.2563
224116,2022/9/16,002714.SZA,-13.0609,-9444413440,-33.686047,3.13476E+11,1744973767,1100.9974,1091.1786
224117,2022/9/19,002714.SZA,-13.0609,-9444413440,-34.332314,3.1949E+11,1890089785,1098.589,1112.1129
224118,2022/9/20,002714.SZA,-13.0609,-9444413440,-33.674606,3.13369E+11,1612227100,1111.372,1090.8081
224119,2022/9/21,002714.SZA,-13.0609,-9444413440,-32.364914,3.01181E+11,1810067791,1090.8081,1048.3837
224120,2022/9/22,002714.SZA,-13.0609,-9444413440,-32.141865,2.99106E+11,950238390,1044.8638,1041.1586
224121,2022/9/23,002714.SZA,-13.0609,-9444413440,-31.913097,2.96977E+11,1524238711,1040.4175,1033.7482
224122,2022/9/26,002714.SZA,-13.0609,-9444413440,-30.797861,2.86599E+11,1368288616,1022.8179,997.62256
224123,2022/9/27,002714.SZA,-13.0609,-9444413440,-31.415535,2.92347E+11,1315891136,1000.4015,1017.6306
224124,2022/9/28,002714.SZA,-13.0609,-9444413440,-31.278275,2.91069E+11,1089487968,1015.2222,1013.1844
224125,2022/9/29,002714.SZA,-13.0609,-9444413440,-31.118135,2.89579E+11,929720910,1022.6326,1007.99713
